[Iteration 19] Memory: 274.70 MB | CPU: 59.9%
[Iteration 31] Memory: 282.10 MB | CPU: 98.0%
[Iteration 7] Memory: 282.10 MB | CPU: 99.9%
[Iteration 8] Memory: 282.10 MB | CPU: 59.9%
[Iteration 9] Memory: 282.10 MB | CPU: 89.9%
[Iteration 10] Memory: 282.10 MB | CPU: 99.8%
[Iteration 11] Memory: 282.10 MB | CPU: 20.0%
[Iteration 12] Memory: 282.10 MB | CPU: 49.9%
[Iteration 13] Memory: 282.10 MB | CPU: 0.0%
[Iteration 14] Memory: 282.10 MB | CPU: 59.9%
[Iteration 15] Memory: 282.22 MB | CPU: 99.8%
[Iteration 16] Memory: 282.22 MB | CPU: 30.0%
[Iteration 17] Memory: 282.22 MB | CPU: 39.9%
[Iteration 18] Memory: 282.22 MB | CPU: 20.0%
[Iteration 19] Memory: 282.22 MB | CPU: 99.9%
[Iteration 31] Memory: 282.22 MB | CPU: 29.9%
[Iteration 7] Memory: 285.74 MB | CPU: 69.9%
[Iteration 8] Memory: 285.74 MB | CPU: 59.9%
[Iteration 7] Memory: 238.20 MB | CPU: 30.0%
[Iteration 8] Memory: 240.20 MB | CPU: 0.0%
[Iteration 9] Memory: 241.32 MB | CPU: 20.0%
[Iteration 10] Memory: 242.45 MB | CPU: 10.0%
[Iteration 11] Memory: 243.45 MB | CPU: 20.0%
[Iteration 12] Memory: 244.45 MB | CPU: 69.9%
[Iteration 13] Memory: 245.70 MB | CPU: 0.0%
[Iteration 14] Memory: 246.70 MB | CPU: 0.0%
[Iteration 15] Memory: 247.82 MB | CPU: 30.0%
[Iteration 7] Memory: 257.52 MB | CPU: 30.0%
[Iteration 8] Memory: 257.52 MB | CPU: 79.9%
[Iteration 9] Memory: 257.52 MB | CPU: 99.6%
[Iteration 10] Memory: 257.52 MB | CPU: 49.9%
[Iteration 11] Memory: 257.52 MB | CPU: 39.9%
[Iteration 7] Memory: 237.96 MB | CPU: 10.0%
[Iteration 8] Memory: 239.71 MB | CPU: 109.8%
[Iteration 7] Memory: 241.17 MB | CPU: 0.0%
[Iteration 8] Memory: 243.17 MB | CPU: 0.0%
[Iteration 9] Memory: 244.17 MB | CPU: 39.9%
[Iteration 10] Memory: 245.17 MB | CPU: 0.0%
[Iteration 11] Memory: 246.42 MB | CPU: 0.0%
[Iteration 12] Memory: 247.55 MB | CPU: 20.0%
[Iteration 13] Memory: 248.42 MB | CPU: 0.0%
[Iteration 14] Memory: 249.42 MB | CPU: 0.0%
[Iteration 15] Memory: 250.67 MB | CPU: 39.7%
[Iteration 7] Memory: 260.40 MB | CPU: 0.0%
[Iteration 8] Memory: 260.40 MB | CPU: 59.9%
[Iteration 9] Memory: 260.40 MB | CPU: 29.9%
[Iteration 10] Memory: 260.40 MB | CPU: 89.9%
[Iteration 11] Memory: 260.40 MB | CPU: 69.9%
[Iteration 12] Memory: 260.40 MB | CPU: 20.0%
[Iteration 13] Memory: 260.40 MB | CPU: 99.8%
[Iteration 14] Memory: 260.40 MB | CPU: 49.9%
[Iteration 15] Memory: 260.40 MB | CPU: 49.9%
[Iteration 16] Memory: 260.90 MB | CPU: 0.0%
[Iteration 7] Memory: 276.88 MB | CPU: 109.8%
[Iteration 8] Memory: 279.50 MB | CPU: 20.0%
[Iteration 9] Memory: 280.50 MB | CPU: 0.0%
[Iteration 10] Memory: 281.62 MB | CPU: 0.0%
[Iteration 11] Memory: 282.75 MB | CPU: 0.0%
[Iteration 12] Memory: 291.30 MB | CPU: 107.7%
[Iteration 7] Memory: 291.30 MB | CPU: 39.9%
[Iteration 8] Memory: 291.30 MB | CPU: 79.9%
[Iteration 9] Memory: 291.30 MB | CPU: 69.9%
[Iteration 10] Memory: 291.30 MB | CPU: 89.9%
[Iteration 11] Memory: 291.30 MB | CPU: 30.0%
[Iteration 12] Memory: 291.30 MB | CPU: 79.9%
[Iteration 13] Memory: 291.30 MB | CPU: 20.0%
[Iteration 14] Memory: 291.30 MB | CPU: 0.0%
[Iteration 15] Memory: 291.30 MB | CPU: 0.0%
[Iteration 16] Memory: 291.30 MB | CPU: 0.0%
[Iteration 17] Memory: 291.30 MB | CPU: 0.0%
[Iteration 7] Memory: 293.23 MB | CPU: 49.9%
[Iteration 8] Memory: 293.23 MB | CPU: 20.0%
