Pixel X,Pixel Y,Shadow Start Timestamp,Shadow End Timestamp,Shadow Duration (minutes),Average Power Blocked (W/m²)
785,476,17-07-2025 16:34,17-07-2025 17:04,30,801.1184391
786,476,17-07-2025 16:32,17-07-2025 17:04,32,805.1906235
783,477,17-07-2025 16:38,17-07-2025 17:09,31,782.3549115
784,477,17-07-2025 16:38,17-07-2025 17:08,30,784.4761895
785,477,17-07-2025 16:36,17-07-2025 17:08,32,788.5955356
786,477,17-07-2025 16:36,17-07-2025 17:08,32,788.5955356
783,478,17-07-2025 16:42,17-07-2025 17:13,31,765.5126534
784,478,17-07-2025 16:42,17-07-2025 17:13,31,765.5126534
785,478,17-07-2025 16:40,17-07-2025 17:10,30,776.0876771
786,478,17-07-2025 16:40,17-07-2025 17:10,30,776.0876771
783,479,17-07-2025 16:45,17-07-2025 17:16,31,752.7671428
784,479,17-07-2025 16:45,17-07-2025 17:15,30,754.9250313
785,479,17-07-2025 16:44,17-07-2025 17:14,30,759.1791054
786,479,17-07-2025 16:44,17-07-2025 17:14,30,759.1791054
783,480,17-07-2025 16:49,17-07-2025 17:21,32,733.4444828
784,480,17-07-2025 16:49,17-07-2025 17:20,31,735.6255746
785,480,17-07-2025 16:47,17-07-2025 17:20,33,739.8714737
786,480,17-07-2025 16:47,17-07-2025 17:19,32,742.0459345
783,481,17-07-2025 16:52,17-07-2025 17:24,32,720.4660559
784,481,17-07-2025 16:52,17-07-2025 17:23,31,722.6616259
785,481,17-07-2025 16:52,17-07-2025 17:23,31,722.6616259
786,481,17-07-2025 16:52,17-07-2025 17:22,30,724.8540841
783,482,17-07-2025 16:57,17-07-2025 17:28,31,700.8564422
784,482,17-07-2025 16:57,17-07-2025 17:27,30,703.0723228
785,482,17-07-2025 16:56,17-07-2025 17:26,30,707.4482284
786,482,17-07-2025 16:56,17-07-2025 17:25,29,709.6564911
783,483,17-07-2025 17:00,17-07-2025 17:32,32,685.4255798
784,483,17-07-2025 17:00,17-07-2025 17:31,31,687.6578806
785,483,17-07-2025 17:00,17-07-2025 17:30,30,689.8872998
786,483,17-07-2025 16:59,17-07-2025 17:30,31,692.066824
783,484,17-07-2025 17:06,17-07-2025 17:35,29,665.5196557
784,484,17-07-2025 17:05,17-07-2025 17:34,29,669.9747186
785,484,17-07-2025 17:03,17-07-2025 17:34,31,674.3755384
786,484,17-07-2025 17:03,17-07-2025 17:34,31,674.3755384
783,485,17-07-2025 17:10,17-07-2025 17:39,29,647.6114734
784,485,17-07-2025 17:07,17-07-2025 17:39,32,654.2772665
785,485,17-07-2025 17:07,17-07-2025 17:38,31,656.5394322
786,485,17-07-2025 17:07,17-07-2025 17:37,30,658.7989217
783,486,17-07-2025 17:12,17-07-2025 17:43,31,634.0490958
784,486,17-07-2025 17:11,17-07-2025 17:43,32,636.2857857
785,486,17-07-2025 17:11,17-07-2025 17:43,32,636.2857857
786,486,17-07-2025 17:10,17-07-2025 17:40,30,645.3423648
783,487,17-07-2025 17:16,17-07-2025 17:48,32,613.6101151
784,487,17-07-2025 17:16,17-07-2025 17:45,29,620.4950153
785,487,17-07-2025 17:15,17-07-2025 17:45,30,622.7461978
786,487,17-07-2025 17:15,17-07-2025 17:45,30,622.7461978
783,488,17-07-2025 17:21,17-07-2025 17:52,31,593.0531356
784,488,17-07-2025 17:21,17-07-2025 17:50,29,597.6770911
785,488,17-07-2025 17:18,17-07-2025 17:50,32,604.4841515
783,489,17-07-2025 17:24,17-07-2025 17:55,31,579.2502239
784,489,17-07-2025 17:23,17-07-2025 17:53,30,586.1785637
785,489,17-07-2025 17:23,17-07-2025 17:53,30,586.1785637
783,490,17-07-2025 17:28,17-07-2025 17:58,30,563.082659
784,490,17-07-2025 17:27,17-07-2025 17:58,31,565.3825741
785,490,17-07-2025 17:26,17-07-2025 17:56,30,572.3422838
783,491,17-07-2025 17:32,17-07-2025 18:01,29,546.8287084
784,491,17-07-2025 17:31,17-07-2025 18:01,30,549.1418933
785,491,17-07-2025 17:31,17-07-2025 18:00,29,551.4858894
786,491,17-07-2025 17:30,17-07-2025 17:59,29,556.1364253
783,492,17-07-2025 17:35,17-07-2025 18:05,30,530.4622648
784,492,17-07-2025 17:35,17-07-2025 18:04,29,532.8182205
785,492,17-07-2025 17:35,17-07-2025 18:03,28,535.172311
786,492,17-07-2025 17:34,17-07-2025 18:02,28,539.8459207
783,493,17-07-2025 17:40,17-07-2025 18:10,30,506.9733459
784,493,17-07-2025 17:39,17-07-2025 18:08,29,514.0501766
785,493,17-07-2025 17:37,17-07-2025 18:07,30,521.0847195
